repository,createdAt,age,pullRequests,releases,updatedAt,daysSinceUpdate,primaryLanguage,closedIssues,totalIssues,issuesRatio
ReactiveX/RxSwift,2015-04-07 21:25:17,2871,752,71,2023-02-16 13:42:14,1:14:45.030907,Swift,1189,1201,0.9900083263946711
feathericons/feather,2014-05-28 19:49:55,3185,98,51,2023-02-16 13:03:05,1:53:54.030907,JavaScript,230,607,0.37891268533772654
gitlabhq/gitlabhq,2011-10-02 16:25:27,4154,2227,0,2023-02-16 08:39:28,6:17:31.030907,Ruby,0,0,0
doczjs/docz,2018-03-17 04:24:10,1797,365,127,2023-02-16 13:14:55,1:42:04.030907,TypeScript,1136,1241,0.9153908138597905
alpinejs/alpine,2019-11-28 13:51:55,1176,505,112,2023-02-16 09:59:12,4:57:47.030907,HTML,584,585,0.9982905982905983
mdbootstrap/mdb-ui-kit,2014-08-18 11:54:00,3104,193,26,2023-02-16 09:25:12,5:31:47.030907,SCSS,1159,1164,0.9957044673539519
wesbos/JavaScript30,2016-12-07 19:15:31,2261,149,0,2023-02-16 14:57:17,"-1 day, 23:59:42.030907",HTML,0,0,0
CodeHubApp/CodeHub,2013-07-23 22:19:57,3494,13,4,2023-02-14 10:34:17,"2 days, 4:22:42.030907",C#,407,641,0.6349453978159126
Pierian-Data/Complete-Python-3-Bootcamp,2018-02-12 19:30:10,1829,12,0,2023-02-16 14:56:17,0:00:42.030907,Jupyter Notebook,203,299,0.6789297658862876
littlecodersh/ItChat,2016-01-19 07:49:48,2585,29,13,2023-02-16 14:43:10,0:13:49.030907,Python,611,855,0.7146198830409357
heartcombo/devise,2009-09-16 12:15:12,4901,752,16,2023-02-16 10:49:56,4:07:03.030907,Ruby,3985,4136,0.9634912959381045
haizlin/fe-interview,2019-04-17 03:05:58,1401,8,2,2023-02-16 14:31:59,0:25:00.030907,JavaScript,23,5296,0.004342900302114804
rollup/rollup,2015-05-14 22:26:28,2834,1595,373,2023-02-16 09:53:38,5:03:21.030907,JavaScript,2558,2974,0.8601210490921318
matteocrippa/awesome-swift,2014-07-10 14:04:09,3143,1400,0,2023-02-16 14:21:33,0:35:26.030907,Ruby,126,129,0.9767441860465116
dani-garcia/vaultwarden,2018-02-17 22:40:20,1824,596,46,2023-02-16 14:12:59,0:44:00.030907,Rust,1504,1511,0.9953673064195897
open-mmlab/mmdetection,2018-08-22 07:06:06,1639,2098,47,2023-02-16 13:36:59,1:20:00.030907,Python,6178,6689,0.923605920167439
OWASP/CheatSheetSeries,2018-12-21 14:26:43,1518,660,0,2023-02-16 14:16:32,0:40:27.030907,Python,297,321,0.9252336448598131
kilimchoi/engineering-blogs,2015-06-13 18:25:17,2804,680,0,2023-02-16 12:42:06,2:14:53.030907,Ruby,74,84,0.8809523809523809
StreisandEffect/streisand,2014-03-23 21:56:19,3251,527,0,2023-02-16 10:42:44,4:14:15.030907,Shell,929,1140,0.8149122807017544
nushell/nushell,2019-05-10 16:59:42,1377,4079,67,2023-02-16 13:40:14,1:16:45.030907,Rust,2697,3347,0.8057962354347177
pure-css/pure,2013-04-22 16:16:39,3586,323,27,2023-02-15 23:46:24,15:10:35.030907,JavaScript,568,570,0.9964912280701754
quasarframework/quasar,2015-10-05 15:45:36,2690,3371,745,2023-02-16 07:19:55,7:37:04.030907,JavaScript,6768,7128,0.9494949494949495
Ebazhanov/linkedin-skill-assessments-quizzes,2019-07-13 19:52:56,1313,4365,1,2023-02-16 14:08:44,0:48:15.030907,Python,625,670,0.9328358208955224
charlax/professional-programming,2015-11-07 05:07:52,2658,29,0,2023-02-16 09:32:16,5:24:43.030907,Python,16,16,1.0
syl20bnr/spacemacs,2012-12-17 21:34:03,3712,1619,158,2023-02-16 12:28:24,2:28:35.030907,Emacs Lisp,7967,8316,0.958032708032708
ascoders/weekly,2017-03-20 06:10:04,2159,127,170,2023-02-16 13:44:29,1:12:30.030907,JavaScript,325,326,0.9969325153374233
vercel/pkg,2016-08-08 19:41:59,2382,163,40,2023-02-16 14:32:20,0:24:39.030907,JavaScript,1296,1334,0.9715142428785607
statelyai/xstate,2015-09-14 15:04:15,2711,1262,197,2023-02-16 12:24:42,2:32:17.030907,TypeScript,1028,1147,0.8962510897994769
TeamNewPipe/NewPipe,2015-09-03 23:39:26,2722,1387,124,2023-02-16 13:51:29,1:05:30.030907,Java,6572,7729,0.850304049683012
docsifyjs/docsify,2016-11-20 07:55:43,2279,530,13,2023-02-16 09:39:17,5:17:42.030907,JavaScript,953,1146,0.8315881326352531
qianguyihao/Web,2017-01-03 11:44:33,2235,0,0,2023-02-16 12:58:16,1:58:43.030907,none,136,178,0.7640449438202247
kahun/awesome-sysadmin,2014-02-09 22:39:20,3293,183,0,2023-02-16 13:59:39,0:57:20.030907,none,26,98,0.2653061224489796
ramda/ramda,2013-06-21 20:32:35,3526,1277,26,2023-02-16 14:23:15,0:33:44.030907,JavaScript,1461,1587,0.9206049149338374
michalsnik/aos,2015-07-09 17:49:00,2778,38,0,2023-02-16 14:57:26,"-1 day, 23:59:33.030907",JavaScript,352,650,0.5415384615384615
jaywcjlove/linux-command,2016-11-12 15:44:26,2286,259,23,2023-02-16 12:45:35,2:11:24.030907,Markdown,88,141,0.624113475177305
zeromicro/go-zero,2020-08-07 15:37:57,922,1328,79,2023-02-16 13:55:03,1:01:56.030907,Go,958,1137,0.8425681618293756
numpy/numpy,2010-09-13 23:02:39,4538,9609,97,2023-02-16 14:48:04,0:08:55.030907,Python,9267,11238,0.8246129204484783
mbadolato/iTerm2-Color-Schemes,2011-04-01 04:01:46,4339,271,0,2023-02-16 14:26:54,0:30:05.030907,Shell,81,97,0.8350515463917526
dnSpy/dnSpy,2015-07-01 16:05:10,2786,53,1,2023-02-16 13:55:57,1:01:02.030907,C#,0,0,0
streamlit/streamlit,2019-08-24 00:14:52,1272,2536,53,2023-02-16 14:44:35,0:12:24.030907,Python,2459,3035,0.8102141680395387
matterport/Mask_RCNN,2017-10-19 20:28:34,1945,65,3,2023-02-16 11:53:12,3:03:47.030907,Python,831,2644,0.3142965204236006
openfaas/faas,2016-12-22 12:51:39,2247,670,163,2023-02-16 08:35:13,6:21:46.030907,Go,786,813,0.966789667896679
Wox-launcher/Wox,2013-12-19 15:49:32,3345,288,38,2023-02-16 12:38:06,2:18:53.030907,C#,2411,3375,0.7143703703703703
yichengchen/clashX,2018-06-13 02:51:24,1709,33,29,2023-02-16 14:33:17,0:23:42.030907,Swift,0,0,0
reduxjs/react-redux,2015-07-11 17:32:01,2776,492,114,2023-02-16 13:02:29,1:54:30.030907,TypeScript,1192,1206,0.988391376451078
getredash/redash,2013-10-28 13:19:39,3398,2667,98,2023-02-16 11:53:53,3:03:06.030907,Python,1745,2258,0.7728077945084145
datasciencemasters/go,2013-08-14 08:33:55,3473,44,0,2023-02-16 13:52:33,1:04:26.030907,none,23,51,0.45098039215686275
coder2gwy/coder2gwy,2020-12-30 14:40:50,778,2,0,2023-02-16 13:42:14,1:14:45.030907,none,26,142,0.18309859154929578
android/architecture-components-samples,2017-05-09 21:09:14,2108,215,0,2023-02-16 14:04:55,0:52:04.030907,Kotlin,536,682,0.7859237536656891
inconshreveable/ngrok,2013-03-20 09:37:43,3620,34,0,2023-02-16 06:48:56,8:08:03.030907,Go,608,816,0.7450980392156863
dimsemenov/PhotoSwipe,2011-04-07 05:46:29,4333,73,15,2023-02-16 11:14:27,3:42:32.030907,JavaScript,1169,1759,0.6645821489482661
servo/servo,2012-02-08 19:07:25,4025,14343,0,2023-02-16 12:56:12,2:00:47.030907,none,8306,11737,0.7076765783419954
